price_bin,count,min,max,mean
"(117564.069, 197379.85]",20,117564.07,197053.51,180843.12
"(197379.85, 206594.532]",19,197869.36,206445.42,201987.86
"(206594.532, 219471.88]",20,206631.81,219373.41,212532.7
"(219471.88, 229925.43]",19,219865.76,229581.78,224716.63
"(229925.43, 243052.59]",20,230154.53,243052.59,236996.34
"(243052.59, 256966.376]",19,244820.67,256821.64,249605.72
"(256966.376, 291201.74]",19,257183.48,290031.26,270433.28
"(291201.74, 327739.248]",20,291494.36,326885.34,306808.29
"(327739.248, 389702.618]",19,331154.88,388515.14,360638.63
"(389702.618, 529317.28]",20,390494.27,529317.28,447793.51
